Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 2207.82it/s]
K2MXI1_TRYCR: Predicted ERROR, probability : 0.8525
G1R9L0_NOMLE: Predicted CORRECT, probability : 0.2892
H2VC54_TAKRU: Predicted CORRECT, probability : 0.4799
G4YNA1_PHYSP: Predicted CORRECT, probability : 0.4655
M3XWM7_MUSPF: Predicted CORRECT, probability : 0.1715
A8XRG6_CAEBR: Predicted ERROR, probability : 0.9853
F6U8K2_HORSE: Predicted ERROR, probability : 0.6196
LZTL1_MOUSE: Predicted ERROR, probability : 0.5173
Q29N44_DROPS: Predicted ERROR, probability : 0.6354
F6TUH0_HORSE: Predicted CORRECT, probability : 0.2782
A4IDK2_LEIIN: Predicted CORRECT, probability : 0.4444
F1QCQ8_DANRE: Predicted CORRECT, probability : 0.2619
G7PKR7_MACFA: Predicted CORRECT, probability : 0.4268
A0A0D9QYK6_CHLSB: Predicted CORRECT, probability : 0.1591
K7JBG2_NASVI: Predicted CORRECT, probability : 0.3802
A0A0V0QP26_PSEPJ: Predicted CORRECT, probability : 0.1814
BBS2_MOUSE: Predicted CORRECT, probability : 0.1924
A0A096NE45_PAPAN: Predicted CORRECT, probability : 0.4078
A0A0N4U4C4_DRAME: Predicted ERROR, probability : 0.9998
B4MRQ8_DROWI: Predicted CORRECT, probability : 0.1076
B0W1I5_CULQU: Predicted ERROR, probability : 0.9835
J9I6R2_9SPIT: Predicted ERROR, probability : 0.8945
A0A0D9RQV3_CHLSB: Predicted CORRECT, probability : 0.1324
W5K849_ASTMX: Predicted CORRECT, probability : 0.2000
U3JJ17_FICAL: Predicted CORRECT, probability : 0.4749
F6QAP7_MONDO: Predicted CORRECT, probability : 0.4275
D0N9B8_PHYIT: Predicted ERROR, probability : 0.9582
M3WH89_FELCA: Predicted CORRECT, probability : 0.0817
BBS7_HUMAN: Predicted CORRECT, probability : 0.1579
I3MVI4_ICTTR: Predicted CORRECT, probability : 0.4115
W5K4L0_ASTMX: Predicted ERROR, probability : 0.6366
G7PI35_MACFA: Predicted CORRECT, probability : 0.2480
D6WTY1_TRICA: Predicted CORRECT, probability : 0.3002
A0A0K0G2M1_9BILA: Predicted CORRECT, probability : 0.2633
S9U239_9TRYP: Predicted ERROR, probability : 0.8214
G5C8M2_HETGA: Predicted ERROR, probability : 0.5959
S9UFH8_9TRYP: Predicted ERROR, probability : 0.5765
A7S4V5_NEMVE: Predicted ERROR, probability : 0.8967
T1L460_TETUR: Predicted CORRECT, probability : 0.1702
K3XAU7_PYTUL: Predicted CORRECT, probability : 0.3449
A0A0M8ZZV1_9HYME: Predicted ERROR, probability : 0.5623
TRI32_HUMAN: Predicted CORRECT, probability : 0.4113
H3ACN3_LATCH: Predicted CORRECT, probability : 0.4700
F1NQI6_CHICK: Predicted CORRECT, probability : 0.3971
B4KQ20_DROMO: Predicted ERROR, probability : 0.5011
D0NIZ2_PHYIT: Predicted CORRECT, probability : 0.4910
G1RZS0_NOMLE: Predicted CORRECT, probability : 0.1401
F7C4T0_CALJA: Predicted CORRECT, probability : 0.1036
W2R9D6_PHYPN: Predicted CORRECT, probability : 0.1877
B5DUR3_DROPS: Predicted CORRECT, probability : 0.1657
F6SUK4_MACMU: Predicted CORRECT, probability : 0.2453
V9FJ70_PHYPR: Predicted CORRECT, probability : 0.3614
I3MME5_ICTTR: Predicted CORRECT, probability : 0.2438
Q4Q1J3_LEIMA: Predicted CORRECT, probability : 0.4744
A0A087YC70_POEFO: Predicted CORRECT, probability : 0.2624
G7PGZ2_MACFA: Predicted CORRECT, probability : 0.2366
H9GCQ3_ANOCA: Predicted CORRECT, probability : 0.1507
I3KWC4_ORENI: Predicted ERROR, probability : 0.6797
D2HVB4_AILME: Predicted CORRECT, probability : 0.4962
D8UK49_VOLCA: Predicted CORRECT, probability : 0.3184
W4GJ56_9STRA: Predicted ERROR, probability : 0.8738
W4FHA7_9STRA: Predicted CORRECT, probability : 0.4203
E3LZ78_CAERE: Predicted ERROR, probability : 0.9981
A0A024U1E5_9STRA: Predicted CORRECT, probability : 0.2858
T1IP28_STRMM: Predicted CORRECT, probability : 0.1949
G3NKQ2_GASAC: Predicted CORRECT, probability : 0.3103
E1G6S1_LOALO: Predicted CORRECT, probability : 0.2332
W5PLE6_SHEEP: Predicted ERROR, probability : 0.9779
A0A091DXI0_FUKDA: Predicted CORRECT, probability : 0.2804
I3IYL8_ORENI: Predicted CORRECT, probability : 0.2350
A0A074ZW58_9TREM: Predicted CORRECT, probability : 0.2050
G1KSD3_ANOCA: Predicted CORRECT, probability : 0.3883
G1TLB3_RABIT: Predicted CORRECT, probability : 0.1572
A0A078ADS2_STYLE: Predicted CORRECT, probability : 0.2360
B3RXC9_TRIAD: Predicted CORRECT, probability : 0.2249
D2V8J4_NAEGR: Predicted ERROR, probability : 0.5097
Q295Y8_DROPS: Predicted ERROR, probability : 0.8744
E2AZ94_CAMFO: Predicted ERROR, probability : 0.8134
A0A026VXT6_CERBI: Predicted ERROR, probability : 0.9063
A0A0K0F6I4_9BILA: Predicted CORRECT, probability : 0.0751
G1SII1_RABIT: Predicted CORRECT, probability : 0.2766
B1H296_RAT: Predicted CORRECT, probability : 0.2673
G3WG80_SARHA: Predicted CORRECT, probability : 0.2435
G1LXJ6_AILME: Predicted CORRECT, probability : 0.3813
A0A0K0F3T8_9BILA: Predicted ERROR, probability : 0.8543
A0A0V0R9P2_PSEPJ: Predicted ERROR, probability : 0.9822
M3YWX4_MUSPF: Predicted ERROR, probability : 0.5292
A0A087Y1G8_POEFO: Predicted CORRECT, probability : 0.4758
H2RCJ0_PANTR: Predicted CORRECT, probability : 0.1789
H0Y2B1_OTOGA: Predicted CORRECT, probability : 0.4114
C1MI95_MICPC: Predicted CORRECT, probability : 0.4670
V6LQF6_9EUKA: Predicted ERROR, probability : 0.9305
K3WZB3_PYTUL: Predicted CORRECT, probability : 0.4756
D3ZYF7_RAT: Predicted CORRECT, probability : 0.2200
I3KYQ8_ORENI: Predicted CORRECT, probability : 0.2441
B3RYU7_TRIAD: Predicted CORRECT, probability : 0.4955
E3MFB0_CAERE: Predicted ERROR, probability : 0.7638
G1RDU8_NOMLE: Predicted CORRECT, probability : 0.1435
A0A0N4TNI5_BRUPA: Predicted CORRECT, probability : 0.3346
B4HPG5_DROSE: Predicted CORRECT, probability : 0.1134
A0A0M9GAT6_9TRYP: Predicted ERROR, probability : 0.5731
S7NMT1_MYOBR: Predicted CORRECT, probability : 0.2940
G1TDC1_RABIT: Predicted CORRECT, probability : 0.1774
F1SDY6_PIG: Predicted ERROR, probability : 0.6664
G1QXS8_NOMLE: Predicted CORRECT, probability : 0.3119
G3WML8_SARHA: Predicted CORRECT, probability : 0.4782
A0A096NVI3_PAPAN: Predicted CORRECT, probability : 0.2608
B4KGC5_DROMO: Predicted CORRECT, probability : 0.4513
F6V3X0_CALJA: Predicted ERROR, probability : 0.5233
H2KTD0_CLOSI: Predicted CORRECT, probability : 0.2256
W2ZBK5_PHYPR: Predicted ERROR, probability : 0.8014
A0A151P2F5_ALLMI: Predicted CORRECT, probability : 0.1607
D0MT71_PHYIT: Predicted ERROR, probability : 0.8423
T1EK87_HELRO: Predicted CORRECT, probability : 0.4384
G3Q0Q9_GASAC: Predicted ERROR, probability : 0.5446
A0A0H5S6V4_BRUMA: Predicted CORRECT, probability : 0.3212
M7BRE2_CHEMY: Predicted ERROR, probability : 0.7828
Q23PP7_TETTS: Predicted CORRECT, probability : 0.2031
A0A0K0EG76_STRER: Predicted CORRECT, probability : 0.1587
W5P8L3_SHEEP: Predicted CORRECT, probability : 0.2654
U3K0J7_FICAL: Predicted CORRECT, probability : 0.3607
G3SY59_LOXAF: Predicted CORRECT, probability : 0.1187
F1RRP3_PIG: Predicted CORRECT, probability : 0.2801
H3BHT8_LATCH: Predicted CORRECT, probability : 0.1186
V8P9D6_OPHHA: Predicted CORRECT, probability : 0.2593
C1EG27_MICCC: Predicted ERROR, probability : 0.6051
Q22BU8_TETTS: Predicted ERROR, probability : 0.9006
Q57WF2_TRYB2: Predicted ERROR, probability : 0.8151
H3A6Z7_LATCH: Predicted ERROR, probability : 0.9975
V4AFV8_LOTGI: Predicted CORRECT, probability : 0.3280
H2Q6I5_PANTR: Predicted CORRECT, probability : 0.3545
S7PIU1_MYOBR: Predicted CORRECT, probability : 0.3933
A0A0L7R601_9HYME: Predicted CORRECT, probability : 0.4413
BBS5_MOUSE: Predicted CORRECT, probability : 0.4215
H2T1G8_TAKRU: Predicted CORRECT, probability : 0.4919
B4HN35_DROSE: Predicted ERROR, probability : 0.5105
A0A0N4VCE4_ENTVE: Predicted ERROR, probability : 0.9981
A0A0D9R698_CHLSB: Predicted CORRECT, probability : 0.4460
A0A0D9RRT6_CHLSB: Predicted CORRECT, probability : 0.4268
F0Y179_AURAN: Predicted ERROR, probability : 0.5033
B4IGG4_DROSE: Predicted CORRECT, probability : 0.4601
H2YKL4_CIOSA: Predicted ERROR, probability : 0.9982
I1E5G3_AMPQE: Predicted ERROR, probability : 0.9880
F6XU90_ORNAN: Predicted CORRECT, probability : 0.1685
PTHB1_CAEEL: Predicted CORRECT, probability : 0.2631
M3WUV2_FELCA: Predicted CORRECT, probability : 0.4146
G5AEZ3_PHYSP: Predicted CORRECT, probability : 0.4102
H2QDI7_PANTR: Predicted CORRECT, probability : 0.2489
A0A0N4ZWT7_PARTI: Predicted ERROR, probability : 0.6699
G1KMV6_ANOCA: Predicted CORRECT, probability : 0.4407
K7G526_PELSI: Predicted ERROR, probability : 0.7744
E9AFP5_LEIMA: Predicted ERROR, probability : 0.5794
H2N391_PONAB: Predicted CORRECT, probability : 0.2970
A0A0L0HKI2_SPIPN: Predicted ERROR, probability : 0.6325
F7C228_XENTR: Predicted CORRECT, probability : 0.2167
E1C569_CHICK: Predicted CORRECT, probability : 0.4795
A0A151WSL3_9HYME: Predicted CORRECT, probability : 0.3877
MKS1_MOUSE: Predicted CORRECT, probability : 0.2433
G3NM06_GASAC: Predicted ERROR, probability : 0.9117
A0A0K0JGJ2_BRUMA: Predicted CORRECT, probability : 0.4429
H3CVL6_TETNG: Predicted CORRECT, probability : 0.1624
M3WRS6_FELCA: Predicted ERROR, probability : 0.9917
F1QBF1_DANRE: Predicted ERROR, probability : 0.6244
H2MHH5_ORYLA: Predicted CORRECT, probability : 0.1687
A0A024TA76_9STRA: Predicted ERROR, probability : 0.8084
L5MEG4_MYODS: Predicted CORRECT, probability : 0.4772
F6SS62_MONDO: Predicted CORRECT, probability : 0.3852
K7J2H3_NASVI: Predicted CORRECT, probability : 0.2615
G3NXV8_GASAC: Predicted ERROR, probability : 0.6113
Q4D247_TRYCC: Predicted CORRECT, probability : 0.3738
A0A0D9RGH8_CHLSB: Predicted CORRECT, probability : 0.4810
A0A0G4EJS8_VITBC: Predicted ERROR, probability : 0.6276
B4G8S5_DROPE: Predicted CORRECT, probability : 0.4714
G1U012_RABIT: Predicted ERROR, probability : 0.9739
F4PDV5_BATDJ: Predicted CORRECT, probability : 0.4030
H0UU32_CAVPO: Predicted CORRECT, probability : 0.2814
W4FD87_9STRA: Predicted ERROR, probability : 0.7710
A8X9X0_CAEBR: Predicted ERROR, probability : 0.9937
F1NC06_CHICK: Predicted CORRECT, probability : 0.2523
A0A0I9N4J2_BRUMA: Predicted ERROR, probability : 0.5078
H2V9K1_TAKRU: Predicted CORRECT, probability : 0.4880
B4M537_DROVI: Predicted ERROR, probability : 0.8265
F4WAX0_ACREC: Predicted ERROR, probability : 0.6572
J0M6Z1_LOALO: Predicted CORRECT, probability : 0.3440
Q7QJD7_ANOGA: Predicted ERROR, probability : 0.7861
B0WXE2_CULQU: Predicted CORRECT, probability : 0.4645
Q231T4_TETTS: Predicted ERROR, probability : 0.6929
Q9VPP9_DROME: Predicted ERROR, probability : 0.6354
W4FL04_9STRA: Predicted ERROR, probability : 0.6393
BBS2_DANRE: Predicted CORRECT, probability : 0.1834
G3QKV3_GORGO: Predicted CORRECT, probability : 0.2581
A0A095C0Z5_SCHHA: Predicted CORRECT, probability : 0.3242
K1R468_CRAGI: Predicted CORRECT, probability : 0.3576
A0A095AJW5_SCHHA: Predicted CORRECT, probability : 0.1322
Q4Q5F8_LEIMA: Predicted CORRECT, probability : 0.4044
W6KU64_9TRYP: Predicted CORRECT, probability : 0.2026
M3ZIL2_XIPMA: Predicted CORRECT, probability : 0.2670
A0A0D9QYN2_CHLSB: Predicted ERROR, probability : 0.9601
G3S2G4_GORGO: Predicted CORRECT, probability : 0.2124
A0A044U854_ONCVO: Predicted ERROR, probability : 0.8224
G5B2B2_HETGA: Predicted CORRECT, probability : 0.3754
T1J8I6_STRMM: Predicted CORRECT, probability : 0.3892
A0A0L0CIR6_LUCCU: Predicted ERROR, probability : 0.5071
L1JKF8_GUITH: Predicted ERROR, probability : 0.6307
FRITZ_MOUSE: Predicted ERROR, probability : 0.7438
M3W6J9_FELCA: Predicted ERROR, probability : 0.5377
A0A067BYM3_SAPPC: Predicted ERROR, probability : 0.6092
U6PCU9_HAECO: Predicted ERROR, probability : 0.5602
A0A096M5A9_POEFO: Predicted CORRECT, probability : 0.4424
F6ZUB8_MACMU: Predicted CORRECT, probability : 0.4078
H2MKZ4_ORYLA: Predicted CORRECT, probability : 0.2035
BBS2_CAEEL: Predicted CORRECT, probability : 0.4186
B4GR41_DROPE: Predicted ERROR, probability : 0.5519
E3LTH5_CAERE: Predicted ERROR, probability : 0.9389
Q38AS4_TRYB2: Predicted CORRECT, probability : 0.3515
F6YCR4_HORSE: Predicted CORRECT, probability : 0.4162
E0VZH2_PEDHC: Predicted CORRECT, probability : 0.3910
F1RU51_PIG: Predicted CORRECT, probability : 0.3574
A0A0M0JV78_9EUKA: Predicted ERROR, probability : 0.6596
K7FLU5_PELSI: Predicted CORRECT, probability : 0.1695
A0A0N4TXV0_BRUPA: Predicted CORRECT, probability : 0.1340
G1LSZ3_AILME: Predicted CORRECT, probability : 0.4449
G5ANN6_HETGA: Predicted ERROR, probability : 0.9964
E4X9Q3_OIKDI: Predicted ERROR, probability : 0.5679
A2D7W2_TRIVA: Predicted ERROR, probability : 0.9684
A0A154P754_9HYME: Predicted CORRECT, probability : 0.4609
Q584V4_TRYB2: Predicted CORRECT, probability : 0.4883
H2ZYI3_LATCH: Predicted CORRECT, probability : 0.4665
B4IDB2_DROSE: Predicted CORRECT, probability : 0.4465
L5LQ17_MYODS: Predicted CORRECT, probability : 0.4286
A0A0N5AFX7_9BILA: Predicted ERROR, probability : 0.5357
M3WPF5_FELCA: Predicted ERROR, probability : 0.8973
A0A151X9E7_9HYME: Predicted CORRECT, probability : 0.2028
F1S1T9_PIG: Predicted CORRECT, probability : 0.1446
BBS4_DROME: Predicted ERROR, probability : 0.5839
E9AGF5_LEIIN: Predicted ERROR, probability : 0.7360
A1ZBK9_DROME: Predicted CORRECT, probability : 0.1110
A0A067CKY6_SAPPC: Predicted CORRECT, probability : 0.4788
A7S9V7_NEMVE: Predicted CORRECT, probability : 0.2352
F1SMI2_PIG: Predicted CORRECT, probability : 0.4188
I3JHX4_ORENI: Predicted CORRECT, probability : 0.2303
A0A0N5AW95_9BILA: Predicted CORRECT, probability : 0.2219
Q16XJ9_AEDAE: Predicted CORRECT, probability : 0.1316
H3DXJ0_PRIPA: Predicted ERROR, probability : 0.7623
V8NN67_OPHHA: Predicted ERROR, probability : 0.6000
H3B9Z9_LATCH: Predicted CORRECT, probability : 0.1540
B3S0W6_TRIAD: Predicted ERROR, probability : 0.8323
F0XZU8_AURAN: Predicted ERROR, probability : 0.9789
W5KEJ5_ASTMX: Predicted CORRECT, probability : 0.4695
A0A151MGZ9_ALLMI: Predicted ERROR, probability : 0.5805
H2RIS5_TAKRU: Predicted CORRECT, probability : 0.4073
B4KCS8_DROMO: Predicted ERROR, probability : 0.7429
I3IYB2_ORENI: Predicted ERROR, probability : 0.6364
A0A0R3RVV6_9BILA: Predicted CORRECT, probability : 0.2394
F7DPW6_MACMU: Predicted CORRECT, probability : 0.2309
A0A0K0F721_9BILA: Predicted CORRECT, probability : 0.1375
B4G899_DROPE: Predicted ERROR, probability : 0.6555
G3P8N2_GASAC: Predicted ERROR, probability : 0.9279
A0A154PHR6_9HYME: Predicted ERROR, probability : 0.6739
IFT27_CHLRE: Predicted ERROR, probability : 0.6646
H2V4M8_TAKRU: Predicted CORRECT, probability : 0.3121
A0A0L7RDV5_9HYME: Predicted ERROR, probability : 0.9703
A0A0D9QUM7_CHLSB: Predicted CORRECT, probability : 0.1297
H3D829_TETNG: Predicted ERROR, probability : 0.8938
L5M4N6_MYODS: Predicted CORRECT, probability : 0.2588
A0A0R3WDM8_TAEAS: Predicted ERROR, probability : 0.9671
A0A0N4ZJ99_PARTI: Predicted ERROR, probability : 0.6327
W5LQZ1_ASTMX: Predicted CORRECT, probability : 0.1720
I3JZ61_ORENI: Predicted ERROR, probability : 0.5414
MKKS_MOUSE: Predicted CORRECT, probability : 0.3050
H2ZXI1_LATCH: Predicted CORRECT, probability : 0.2764
D8RT29_SELML: Predicted ERROR, probability : 0.9406
A0A044RGE9_ONCVO: Predicted CORRECT, probability : 0.4299
T1FL10_HELRO: Predicted ERROR, probability : 0.5086
A0A0T6BEB8_9SCAR: Predicted ERROR, probability : 0.9999
I1FWY5_AMPQE: Predicted ERROR, probability : 0.5412
D2VRJ0_NAEGR: Predicted ERROR, probability : 0.9298
K7FYE3_PELSI: Predicted ERROR, probability : 0.5375
A0A087Y3I8_POEFO: Predicted ERROR, probability : 0.5574
A0A096P1E7_PAPAN: Predicted ERROR, probability : 0.8937
A0A075B027_9FUNG: Predicted ERROR, probability : 0.9790
L5K8C4_PTEAL: Predicted ERROR, probability : 0.9857
V4ASP5_LOTGI: Predicted CORRECT, probability : 0.2458
A0A0J9YA55_BRUMA: Predicted ERROR, probability : 0.9283
F6SBB9_XENTR: Predicted ERROR, probability : 0.9645
H2N2Z0_ORYLA: Predicted CORRECT, probability : 0.2736
A0A0T6BBS5_9SCAR: Predicted ERROR, probability : 0.9954
I1F5U0_AMPQE: Predicted ERROR, probability : 0.9980
K7JKG6_NASVI: Predicted ERROR, probability : 0.9813
G1LFS2_AILME: Predicted ERROR, probability : 0.8227
J9K5L4_ACYPI: Predicted ERROR, probability : 0.9638
A0A0P7WHG2_9TELE: Predicted ERROR, probability : 0.9996
A0A0D8YDT9_DICVI: Predicted ERROR, probability : 0.9989
A0A0R3RVV6_9BILA: Predicted CORRECT, probability : 0.2394
S7PU90_MYOBR: Predicted ERROR, probability : 0.8754
A0A077ZAL0_TRITR: Predicted ERROR, probability : 1.0000
A0A0V0R853_PSEPJ: Predicted ERROR, probability : 0.6540
A0A183IHX8_9BILA: Predicted ERROR, probability : 0.9977
W5PLE6_SHEEP: Predicted ERROR, probability : 0.9779
S7NLE7_MYOBR: Predicted ERROR, probability : 0.9640
T1G3W6_HELRO: Predicted CORRECT, probability : 0.4262
K7GB82_PELSI: Predicted ERROR, probability : 0.6678
A0A0D8YB08_DICVI: Predicted ERROR, probability : 0.5203
H0W518_CAVPO: Predicted CORRECT, probability : 0.2829
S7PZK5_MYOBR: Predicted ERROR, probability : 0.9958
H2MLD9_ORYLA: Predicted CORRECT, probability : 0.3656
M3WRS6_FELCA: Predicted ERROR, probability : 0.9917
E9G2T4_DAPPU: Predicted ERROR, probability : 0.9431
A0A0D8XNP3_DICVI: Predicted ERROR, probability : 0.9772
F1PG86_CANLF: Predicted ERROR, probability : 0.5492
F7DBP5_ORNAN: Predicted CORRECT, probability : 0.3810
A0A044RIU7_ONCVO: Predicted CORRECT, probability : 0.1593
A0A094ZHT9_SCHHA: Predicted ERROR, probability : 0.9990
H3A6Z7_LATCH: Predicted ERROR, probability : 0.9975
G1TUK9_RABIT: Predicted CORRECT, probability : 0.3488
A0A026WWN7_CERBI: Predicted ERROR, probability : 0.9999
K7JWU6_NASVI: Predicted CORRECT, probability : 0.4399
G1Q6T8_MYOLU: Predicted CORRECT, probability : 0.4266
A0A0L0DNH8_THETB: Predicted ERROR, probability : 0.5099
H2UZ92_TAKRU: Predicted CORRECT, probability : 0.2952
W6L664_9TRYP: Predicted ERROR, probability : 0.9047
G3S1V8_GORGO: Predicted ERROR, probability : 0.9275
A0A0K0E272_STRER: Predicted ERROR, probability : 0.5663
A0A0N4YCA8_NIPBR: Predicted ERROR, probability : 0.8790
E9ADS3_LEIMA: Predicted ERROR, probability : 0.5475
H3HB40_PHYRM: Predicted ERROR, probability : 0.8552
G2HEF9_PANTR: Predicted ERROR, probability : 0.7406
T1J4V7_STRMM: Predicted ERROR, probability : 0.8895
BBIP1_HUMAN: Predicted ERROR, probability : 0.7601
B7Q6V5_IXOSC: Predicted ERROR, probability : 0.9905
A9URF3_MONBE: Predicted ERROR, probability : 0.9530
G3PWE1_GASAC: Predicted ERROR, probability : 0.6172
B4IPB8_DROSE: Predicted ERROR, probability : 0.8716
H2XR31_CIOIN: Predicted CORRECT, probability : 0.2919
A0A0K0F464_9BILA: Predicted CORRECT, probability : 0.1960
C1E4Y8_MICCC: Predicted ERROR, probability : 0.6393
A0A0P7UT66_9TELE: Predicted ERROR, probability : 0.7253
F7CW87_ORNAN: Predicted CORRECT, probability : 0.4077
H3HDM8_PHYRM: Predicted ERROR, probability : 0.7376
K3WRX6_PYTUL: Predicted ERROR, probability : 0.9761
G5BBT2_HETGA: Predicted CORRECT, probability : 0.3641
M3Z4U9_MUSPF: Predicted CORRECT, probability : 0.4582
Q7QKB4_ANOGA: Predicted ERROR, probability : 0.6097
W5JJX1_ANODA: Predicted ERROR, probability : 0.7796
W2TBI5_NECAM: Predicted ERROR, probability : 0.7361
A0A0N5DFX3_TRIMR: Predicted ERROR, probability : 0.9638
I7MM63_TETTS: Predicted ERROR, probability : 0.9897
A0A0Q3UQ36_AMAAE: Predicted ERROR, probability : 0.9922
A0A151PE31_ALLMI: Predicted CORRECT, probability : 0.2153
A0A0N8JZX8_9TELE: Predicted ERROR, probability : 0.9959
A0A0N4VFK4_ENTVE: Predicted ERROR, probability : 0.9941
H2TTM2_TAKRU: Predicted ERROR, probability : 0.6547
H2SZY5_TAKRU: Predicted ERROR, probability : 0.9804
G1LG10_AILME: Predicted ERROR, probability : 0.7285
J9NXG5_CANLF: Predicted ERROR, probability : 0.5556
A0A024TTU2_9STRA: Predicted ERROR, probability : 0.9625
A0A0V0QQ18_PSEPJ: Predicted ERROR, probability : 0.9958
V8NXJ2_OPHHA: Predicted CORRECT, probability : 0.3094
A0A067BN65_SAPPC: Predicted ERROR, probability : 0.6367
A0A0N5ARG1_9BILA: Predicted ERROR, probability : 0.9996
L5LEJ0_MYODS: Predicted ERROR, probability : 0.6596
C1MLA9_MICPC: Predicted CORRECT, probability : 0.0978
M7BI39_CHEMY: Predicted ERROR, probability : 0.9930
A0A0N4YQM8_NIPBR: Predicted ERROR, probability : 0.9989
V8PGZ8_OPHHA: Predicted ERROR, probability : 0.9936
F6YN29_MONDO: Predicted CORRECT, probability : 0.1953
R4G9X7_ANOCA: Predicted ERROR, probability : 0.7491
U6NW24_HAECO: Predicted CORRECT, probability : 0.4811
A0A0N1IQE1_PAPXU: Predicted ERROR, probability : 0.7119
A9UW13_MONBE: Predicted ERROR, probability : 0.5213
Q17IM4_AEDAE: Predicted ERROR, probability : 0.9883
A0A0N4U4C4_DRAME: Predicted ERROR, probability : 0.9998
A0A0N5D1P5_THECL: Predicted ERROR, probability : 0.8263
K7F525_PELSI: Predicted ERROR, probability : 0.5170
X6NZL0_RETFI: Predicted ERROR, probability : 0.6742
G1LAF1_AILME: Predicted CORRECT, probability : 0.2827
U1P0V6_ASCSU: Predicted ERROR, probability : 0.6697
A0A139WKF1_TRICA: Predicted ERROR, probability : 0.7717
A0A087X6C9_POEFO: Predicted ERROR, probability : 0.9329
A0A0N1PGX0_PAPXU: Predicted ERROR, probability : 0.9101
K7IMU7_NASVI: Predicted ERROR, probability : 0.6137
F7DK17_ORNAN: Predicted ERROR, probability : 0.9021
D8THF8_VOLCA: Predicted ERROR, probability : 0.7059
A0A0R3P9K8_ANGCS: Predicted ERROR, probability : 0.9921
Q17FU4_AEDAE: Predicted ERROR, probability : 0.8439
M7BUC7_CHEMY: Predicted ERROR, probability : 0.9811
A0A0D2MAQ3_9CHLO: Predicted ERROR, probability : 0.8380
V8P0L9_OPHHA: Predicted ERROR, probability : 0.9999
S7PGL6_MYOBR: Predicted ERROR, probability : 0.5800
A0A0W8DLD4_PHYNI: Predicted ERROR, probability : 0.8719
C1E4V7_MICCC: Predicted ERROR, probability : 0.7707
S7MWE6_MYOBR: Predicted CORRECT, probability : 0.4591
A0A183BQH7_GLOPA: Predicted CORRECT, probability : 0.4256
F1QCQ8_DANRE: Predicted CORRECT, probability : 0.2619
W5KW93_ASTMX: Predicted ERROR, probability : 0.9343
A0A132A1L5_SARSC: Predicted ERROR, probability : 0.9963
W2Q6I6_PHYPN: Predicted ERROR, probability : 0.9910
A0A183T176_SCHSO: Predicted ERROR, probability : 0.9460
A0A077ZF88_TRITR: Predicted ERROR, probability : 0.8714
K1QAN9_CRAGI: Predicted ERROR, probability : 0.6446
A0A0D2LN36_9CHLO: Predicted ERROR, probability : 0.8331
A0A0L0DY00_THETB: Predicted ERROR, probability : 0.5450
K1RTU4_CRAGI: Predicted CORRECT, probability : 0.3459
V8PA32_OPHHA: Predicted ERROR, probability : 0.8168
W4YQE9_STRPU: Predicted ERROR, probability : 0.6464
I3MKN1_ICTTR: Predicted CORRECT, probability : 0.4387
A0A0N5CAG5_STREA: Predicted CORRECT, probability : 0.2622
A0A0G4EP95_VITBC: Predicted ERROR, probability : 0.8130
F4X872_ACREC: Predicted ERROR, probability : 0.5314
F7G4A0_MONDO: Predicted ERROR, probability : 0.5263
L9KFC9_TUPCH: Predicted ERROR, probability : 0.9622
U3JYK5_FICAL: Predicted CORRECT, probability : 0.4915
T1FT46_HELRO: Predicted CORRECT, probability : 0.4679
G1KY06_ANOCA: Predicted CORRECT, probability : 0.2369
W2SI00_NECAM: Predicted ERROR, probability : 0.9386
I3IWV9_ORENI: Predicted ERROR, probability : 0.7118
I3LT30_PIG: Predicted ERROR, probability : 0.6069
V8NE13_OPHHA: Predicted ERROR, probability : 0.5645
S7N739_MYOBR: Predicted ERROR, probability : 0.9816
J0M6Z1_LOALO: Predicted CORRECT, probability : 0.3440
G6CNQ9_DANPL: Predicted ERROR, probability : 0.6803
A0A183SY31_SCHSO: Predicted ERROR, probability : 0.6749
C1E9Y7_MICCC: Predicted ERROR, probability : 0.5794
A0A183AVU7_9TREM: Predicted ERROR, probability : 0.9662
A0A0N4Z6G3_PARTI: Predicted CORRECT, probability : 0.3371
H3FK30_PRIPA: Predicted ERROR, probability : 0.9140
S7MF12_MYOBR: Predicted ERROR, probability : 0.9913
S7NH09_MYOBR: Predicted ERROR, probability : 0.5931
F6RDQ7_CIOIN: Predicted CORRECT, probability : 0.3384
A0A096N1F4_PAPAN: Predicted CORRECT, probability : 0.1350
B4MV93_DROWI: Predicted ERROR, probability : 0.7878
A0A0L7R2D7_9HYME: Predicted CORRECT, probability : 0.3651
A0A0R3RRC7_9BILA: Predicted CORRECT, probability : 0.4752
K7GB43_PELSI: Predicted CORRECT, probability : 0.0917
I1GBK3_AMPQE: Predicted ERROR, probability : 0.9944
A0A0N5CNT2_THECL: Predicted ERROR, probability : 0.9937
W5LTX0_ASTMX: Predicted CORRECT, probability : 0.4776
L8Y7H9_TUPCH: Predicted ERROR, probability : 0.9846
H9IZS9_BOMMO: Predicted ERROR, probability : 0.9564
A0A068XJ23_HYMMI: Predicted ERROR, probability : 0.5444
E9GL43_DAPPU: Predicted ERROR, probability : 0.5114
